name,released_at,genre,streaming_on,country,type,content_rating,imdb_rating,number_of_seasons,cast_and_crew
A Wreck Without You,2019-08-01,"Drama, Comedy",Free Services,America,Movie,,4/10,,"Greg Derasmo-director, Alexander Roberts-actor, Rya Meyers-actor, Camille Hendricks-actor"
Rumblestrips,2013-12-06,Drama,Prime Video ,,Movie,,5.9/10,,
The Cape Town Affair,1967-01-01,"Action & Adventure, Thriller",Free Services,South Africa,Movie,,4.2/10,,"Robert D. Webb-director, James Brolin-actor, Jacqueline Bisset-actor, Claire Trevor-actor, Bob Courtney-actor, John Whiteley-actor, Gordon Mulholland-actor, Siegfried Mynhardt-actor, Hyman Kirstein-actor, Harold Medford-author, Samuel Fuller-author"
Alaska: Spirit of the Wild,1998-09-03,"Animation, Documentary",Free Services,America,Movie,,7.1/10,,"George Casey-director, Charlton Heston-actor, George Casey-actor, Paul Novros-actor, Ernest H. Cockrell-actor, George R. Farris-actor, S. Reed Morian-actor, Mose Richards-author"
Wayunagu,2017-01-11,Action & Adventure,Prime Video ,,Movie,,,,
Elvira's Movie Macabre: Hercules and the Captive Women,2012-01-01,,"Prime Video, Prime Video",,Movie,,,,
DarkPlace,2007-02-28,,Prime Video ,America,Movie,,2.9/10,,"Philip Adrian Booth-director, Katherine Boecher-actor, Timothy Lee DePriest-actor, Matthew McGrory-actor, Benjamin Bryan-actor, Lisa Dalton-actor, Dougald Park-actor, Reenie Varga-actor, Irwin Keyes-actor, Walter DuRant-actor, Galen Schrick-actor, Christopher Saint Booth-author, Philip Adrian Booth-author"
12,2020-08-23,"Drama, Comedy",Prime Video ,,Movie,,,,
Hot Girls Wanted,2015-05-29,"Drama, Documentary",Netflix,America,Movie,18+ (R),6.1/10,,"Jill Bauer-director, Ronna Gradus-director, Stella May-actor, Brian Omally-actor, Ava Taylor-actor, John Anthony-actor, Kelly Silguero-actor, Emeterio Silguero-actor, Ava Kelly-actor, Lucy Tyler-actor, Brooklyn Daniels-actor, Kendall Plemons-actor, Tony D.-actor, Levi Cash-actor, Alli Rae-actor, Dillion Carter-actor, Carrie Brooks-actor, Belle Knox-actor, Alaina Kristar-actor, Brittany Huckabee-actor, Rashida Jones-actor, Ronna Gradus-actor, Abigail Disney-actor, Chandra Jessee-actor"
Flora & Ulysses,2021-02-19,"Comedy, Family",Disney+,America,Movie,7+ (PG),6.2/10,,"Lena Khan-director, Matilda Lawler-actor, Alyson Hannigan-actor, Ben Schwartz-actor, Danny Pudi-actor, Benjamin Evan Ainsworth-actor, Kate Micucci-actor, Nancy Robertson-actor, Christine Lee-actor, Darien Martin-actor, Carolyn Yonge-actor, Kyle Strauts-actor, Craig Haas-actor, Malaika Jackson-actor, Arkie Kandola-actor, Nicholas Dohy-actor, Bobby Moynihan-actor, Janeane Garofalo-actor, Anna Deavere Smith-actor, Gil Netter-actor, Katterli Frauenfelder-actor, Brad Copeland-author, Kate DiCamillo-author, Jake Monaco-actor"
The Year of Spectacular Men,2018-06-15,"Comedy, Drama","Free Services, Prime Video",America,Movie,,5.6/10,,"Lea Thompson-director, Madelyn Deutch-actor, Zoey Deutch-actor, Lea Thompson-actor, Melissa Bolona-actor, Avan Jogia-actor, Nicholas Braun-actor, Brandon T. Jackson-actor, Jesse Bradford-actor, Cameron Monaghan-actor, Zach Roerig-actor, Bob Clendenin-actor, Troy Evans-actor, Alison Martin-actor, Lily Anne Harrison-actor, D.W. Moffett-actor, Cindy Kavadas Williamson-actor, Amy Pietz-actor, Grace Yee-actor, Harper Cullen-actor, Alec Mapa-actor, Alex Boling-actor, Damiano Tucci-actor, Danny Roth-actor"
A&E Biography: The Great Ziegfeld,1996-02-26,"Biography, Documentary",Prime Video ,,Movie,,7.4/10,,"Doris Eaton-actor, Patricia Ziegfeld Stephenson-actor, Jack Perkins-actor, Helen Morgan-actor, Tess Gardella-actor, Marilyn Miller-actor, Eddie Cantor-actor, Florenz Ziegfeld Jr.-actor, Will Rogers-actor, Fanny Brice-actor, Jules Bledsoe-actor, John Griffin-actor"
Aliens of the Deep,2005-01-28,"Family, Documentary","Disney+, Prime Video",America,Movie,All (G),6.3/10,,"James Cameron-director, Steven Quale-director, Anatoly M. Sagalevitch-actor, Pamela Conrad-actor, James Cameron-actor, Charles Pellegrino-actor, Genya Chernaiev-actor, Victor Nischeta-actor, Arthur 'Lonne' Lane-actor, Jim Childress-actor, Dijanna Figueroa-actor, Micheal Henry-actor, Kevin Hand-actor, Maya Tolstoy-actor, Loretta Hidalgo-actor, Kelly Snook-actor, Megan McArthur-actor, Tori Hoehler-actor, Michael Atkins-actor, Christina Reed-actor, David L. Dubois-actor, Richard Santos-actor, Melanie Lavender-actor, Andrew Wight-actor"
Reel Pieces with Annette Insdorf,,,Prime Video ,,Movie,,,,
The Last Bus,2011-09-07,"Drama, Fantasy",Prime Video ,Slovakia,Movie,18+ (R),7/10,,"Ivana Laučíková-director, Martin Snopek-director, Michal Rovňák-actor, Vít Bednárik-actor, Ivan Martinka-actor"
Taipei Story,1985-01-01,"Action & Adventure, Drama",The Criterion Channel,Taiwan,Movie,,7.6/10,,"Edward Yang-director, Chin Tsai-actor, Hou Hsiao-hsien-actor, Wu Nien-Jen-actor, Lin Hsiu-Ling-actor, Kelly Ko-actor, Ko I-Chen-actor, Fan Mei-actor, Wu Ping-nan-actor, Yang Li-yin-actor, Grace Chen Shu-Fang-actor, Lai Te-Nan-actor, Peng Sun-actor, De-ming Lyu-actor, Nai-Chu Ting-actor, Shu-yao Yang-actor, Huang Yung-actor, Lin Jung-feng-actor, Liu Sheng-chung-actor, Chu Tien-wen-author, Edward Yang-author, Hou Hsiao-hsien-author, Edward Yang-actor, Tu Duu-chih-actor"
Raiders of the Living Dead,1986-01-01,"Comedy, Horror",Fandor,America,Movie,13+ (PG-13),2.6/10,,"Samuel M. Sherman-director, Scott Schwartz-actor, Robert Deveau-actor, Donna Asali-actor, Robert 'Tex' Allen-actor, Bob Sacchetti-actor, Zita Johann-actor, Corri Burt-actor, Leonard Corman-actor, Nino Rigali-actor, Barbara June Patterson-actor, Brett Piper-author"
Petra,2011-10-12,Comedy,Prime Video ,,Movie,,,,
Rusted Development,2014-03-17,"Animation, Documentary",Prime Video ,America,TV Show,,6.4/10,2,"Rick Dore-actor, Chuck Palumbo-actor"
Nosotros,2017-03-01,Drama,"Free Services, Prime Video",Spain,Movie,,6.6/10,,"Felipe Vara de Rey-director, Sarah Bienzobas-actor, Diego 'Seda' Quejido-actor, Jonathan 'Suko' Peña-actor, María García-actor, Felipe Vara de Rey-actor, Antonio de Cos-actor, Juli Mira-actor, Ascen López-actor, Roberta Pasquinucci-actor, Andrés Lima-actor, Chani Martín-actor, Felipe Vara de Rey-author, Hugo Mas-author"
Gang Related,1997-10-08,"Drama, Crime",HBO MAX,America,Movie,18+ (R),6.4/10,,"Jim Kouf-director, Jim Belushi-actor, Tupac Shakur-actor, Lela Rochon-actor, Dennis Quaid-actor, James Earl Jones-actor, Gary Cole-actor, Terrence 'T.C.' Carson-actor, Wendy Crewson-actor, Kool Moe Dee-actor, Reggie Miller-actor, David Paymer-actor, Brad Greenquist-actor, James Handy-actor, Victor Love-actor, Robert Lasardo-actor, Perry Anzilotti-actor, Gregory Scott Cummins-actor, Tom 'Tiny' Lister Jr.-actor, Brad Krevoy-actor, John Bertolli-actor, Steven Stabler-actor, Lynn Kouf-actor, Jim Kouf-author"
Getting On,2013-11-24,"Drama, Comedy","Free Services, Prime Video",America,TV Show,18+ (TV-MA),7.7/10,3,"Alex Borstein-actor, Niecy Nash-actor, Mel Rodriguez-actor, Joel Johnstone-actor, Mark V. Olsen-actor, Will Scheffer-actor"
Stripped: Las Vegas,2021-11-02,Documentary,Starz,,Movie,,4.3/10,,
Wits in Felixstowe,2018-01-01,Documentary,Prime Video ,United Kingdom,Movie,,7.1/10,,"Robert Lloyd Parry-director, Robert Lloyd Parry-actor, Robert Lloyd Parry-actor, Robert Lloyd Parry-author"
The Woman Condemned,1934-04-03,"Romance, Drama","The Criterion Channel, Prime Video",America,Movie,,4.4/10,,"Dorothy Davenport-director, Lola Lane-actor, Richard Hemingway-actor, Mischa Auer-actor, Claudia Dell-actor, Jason Robards Sr.-actor, Paul Ellis-actor, Douglas Cosgrove-actor, Sheila Bromley-actor, Louise Beavers-actor, Tom O'Brien-actor, Neal Pratt-actor, Willis Kent-actor"
Combat Hospital,2011-06-21,Action & Adventure,Prime Video ,Canada,TV Show,7+ (TV-PG),7.3/10,1,"Elias Koteas-actor, Michelle Borth-actor, Luke Mably-actor, Deborah Kara Unger-actor, Terry Chen-actor, Arnold Pinnock-actor, Daniel Petrie Jr.-actor, Gub Neal-actor, Jennifer Kawaja-actor, Julia Sereny-actor, Justin Thomson-Glover-actor, Patrick Irwin-actor, Simon Vaughan-actor"
Set Play,2020-12-10,Drama,"Free Services, Prime Video",South Korea,Movie,,,,"Moon Seung-wook-director, Lee Jae-kyoon-actor, Jang Yoo-sang-actor, Park Hyun-suk-actor, Go Min-si-actor, Kim Jun-ku-actor, Moon Seung-wook-author"
Pink Hill,2020-01-20,"Comedy, Drama","Free Services, Prime Video",,Movie,,4.2/10,,"Robert Flanagan-director, Kimberlee Gayheart-actor, Kermit Leggett-actor, Michele Lipman-actor, Mott McCampbell-actor, Suzan Al-Doghachi-actor"
Double Blind,2017-11-01,"Action & Adventure, Thriller","Free Services, Prime Video",,Movie,,4.4/10,,"Thomas D. Moser-director, Jennifer Jarrett-actor, Katharine Phillips Moser-actor, Christopher Showerman-actor, Phillip Daniel-actor, Rana Rines-author, Thomas D. Moser-author"
Cowboys,2020-04-15,"Drama, LGBTQ","Hulu, Prime Video",America,Movie,,6.1/10,,"Anna Kerrigan-director, Steve Zahn-actor, Jillian Bell-actor, Sasha Knight-actor, Ann Dowd-actor, Gary Farmer-actor, Chris Coy-actor, John Reynolds-actor, Bob Stephenson-actor, AJ Slaght-actor, John Beasley-actor, Seth Breding-actor, Angela Marshall-actor, Steve Dodd-actor, Armando Garcia-actor, Heather Laplante-actor, Emily Moran-actor, Jared Broxterman-actor, Matt Mhoon-actor, Mari LaPlante-actor, Sawyer Pule-actor, Travis W Bruyer-actor, Anna Kerrigan-actor, Gigi Graff-actor"
My King,2021-04-29,Drama,"Free Services, Prime Video",,Movie,,7.3/10,,"Kenya Cagle-director, Melessa Avery-actor, Christopher W. Clayton-actor, George Crawford-actor, Monet Dunham-actor, Brian Mclaughlin-actor, Danea Osseni-actor, AzJahlee Presswood-actor, Ivan Rawles-actor, Karen Rock-actor, Shaquille Rock-actor, Michael Rothberger-actor, Jeanette Waters-actor, Karen Rock-actor, Kenya Cagle-actor, Karen Rock-author"
Venky Mama,2019-12-13,"Action & Adventure, Comedy","Prime Video, Prime Video",India,Movie,13+ (PG-13),5.4/10,,"Bobby Kolli-director, Venkatesh-actor, Naga Chaitanya Akkineni-actor, Raashi Khanna-actor, Payal Rajput-actor, Nassar-actor, Prakash Raj-actor, Brahmaji-actor, Adithya Menon-actor, Chammak Chandra-actor, Kishore-actor, Posani Krishna Murali-actor, Rao Ramesh-actor, Sampath Raj-actor, Vidyullekha Raman-actor, Srinivasa Reddy-actor, Raghu Karumanchi-actor, Raghu Babu-actor, Hyper Adhi-actor, Daggubati Suresh Babu-actor, Janardhan Maharshi-author, Kona Venkat-author, S. Thaman-actor"
Star Maps,1997-07-23,"Comedy, Drama",Prime Video ,,Movie,18+ (R),5.6/10,,"Miguel Arteta-director, Douglas Spain-actor, Efrain Figueroa-actor, Kandeyce Jorden-actor, Martha Velez-actor, Lysa Flores-actor, Annette Murphy-actor, Robin Thomas-actor, Vincent Chandler-actor, Al Vicente-actor, Herbert Siguenza-actor, Michael Peña-actor, Mike White-actor, Zak Penn-actor, Matthew Greenfield-actor, Beth Colt-actor, Chris Iovenko-actor, Mitchell Kelly-actor, Scott King-actor, Miguel Arteta-author"
Amanda Knox,2011-02-21,"Drama, Crime",Prime Video ,,Movie,,5.7/10,,
It Ain't Easy,1972-11-10,"Drama, Action & Adventure",Prime Video ,America,Movie,7+ (PG),4.3/10,,"Maurice Hurley-director, Lance Henriksen-actor, Barra Grant-actor, Bill Moor-actor, Granville Van Dusen-actor, Joseph Maher-actor, Pierrino Mascarino-actor, Penelope Allen-actor, Bill Schoppert-actor, Joel Thingvall-actor, Richard A. Diercks-actor, Mary Olson-author, Dale Menten-actor"
What Couples Do,2019-06-06,"Drama, Comedy",Prime Video ,,Movie,,5.2/10,,
Nightmare in Columbia County,1991-12-10,"Crime, Drama","Netflix, Prime Video",America,Movie,,5.5/10,,"Royer Young-director, William Devane-actor, Jeri Ryan-actor, Michele Abrams-actor, Nick Searcy-actor, Linda Pierce-actor, Kay Hoffman-actor, Alan Landsburg-actor, John Robert Bensink-author, Richard Bellis-actor"
I Am Patrick Swayze,2019-08-18,"Biography, Documentary","Hoopla, Prime Video",America,Movie,,7.7/10,,"Adrian Buitenhuis-director, Patrick Swayze-actor, Lori Petty-actor, Kelly Lynch-actor, Jennifer Grey-actor, Sam Elliott-actor, Demi Moore-actor, C. Thomas Howell-actor, Rob Lowe-actor, Marshall R. Teague-actor, Don Swayze-actor, Lisa Niemi-actor, Roland Joffé-actor, Kate Edwards-actor, Cliff McLaughlin-actor, Nicole David-actor, Rosemary Hygate-actor, Franklyn Whiteley-actor, Derik Murray-actor, Chaz Gray-actor, Frank Anderson-actor, Greg Zeschuk-actor, Jaimee Kosanke-actor, Jhod Cardinal-actor"
Demetrius and the Gladiators,1954-06-16,"Action & Adventure, Drama",Prime Video ,America,Movie,,6.6/10,,"Delmer Daves-director, Victor Mature-actor, Susan Hayward-actor, Michael Rennie-actor, Debra Paget-actor, Anne Bancroft-actor, Jay Robinson-actor, Ernest Borgnine-actor, Richard Egan-actor, Barry Jones-actor, Charles Evans-actor, William Marshall-actor, Frank Ross-actor, Philip Dunne-author, Franz Waxman-actor"
Psych 3: This Is Gus,2021-11-18,"Comedy, Crime",Peacock Premium,America,Movie,7+ (PG),7.7/10,,"Steve Franks-director, James Roday Rodriguez-actor, Dulé Hill-actor, Timothy Omundson-actor, Maggie Lawson-actor, Kirsten Nelson-actor, Corbin Bernsen-actor, Jazmyn Simon-actor, Kurt Fuller-actor, Curt Smith-actor, Allen Maldonado-actor, Sage Brocklebank-actor, Ray Wise-actor, Katie Findlay-actor, Leanne Lapp-actor, Sophia Reid-Gantzert-actor, B. J. Harrison-actor, Bethany Brown-actor, Chris Henze-actor, Dulé Hill-actor, James Roday Rodriguez-actor, Steve Franks-actor, James Roday Rodriguez-author, Steve Franks-author"
Warriors of Liberty City,2018-09-16,"Reality, Documentary","Free Services, Prime Video",America,TV Show,18+ (TV-MA),6.6/10,1,Kris Bowers-actor
Casebusters,1986-05-25,"Action & Adventure, Family","Disney+, Prime Video",America,Movie,All (G),5.5/10,,"Wes Craven-director, Pat Hingle-actor, Noah Hathaway-actor, Virginya Keehne-actor, Gary Riley-actor, Thomas F. Duffy-actor, Tim Russ-actor, Nicholas Worth-actor, Erwin Stoff-actor, Don Roos-author, George Arthur Bloom-author"
Aliens: The Big Think,2016-05-01,"Animation, Documentary",Discovery+,United Kingdom,Movie,,7.1/10,,"thomas hewitson-director, Martin Rees-actor"
"Forever, Chinatown",2016-04-02,"Animation, Documentary",Kanopy,America,Movie,,8.1/10,,James Chan-director
Murdered By My Boyfriend,2014-06-23,Drama,BritBox,United Kingdom,Movie,,7.4/10,,"Paul Andrew Williams-director, Georgina Campbell-actor, Royce Pierreson-actor, Cassie Bancroft-actor, Caroline Bartleet-actor, Simona Brown-actor, Daniel Ezra-actor, Stephanie Hyam-actor, Karl Jackson-actor, Viola Johnson-actor, Lorna Jones-actor, Monty Jones-actor, David Keeling-actor, Sally Ann Matthews-actor, Laura McAlpine-actor, Jade Monet-actor, Monique Sian Mundle-actor, Esther Niles-actor, Kate Hardie-actor, Pier Wilkie-actor, Darren Kemp-actor, Regina Moriarty-author, Navid Asghari-actor"
Ti Laurent,,"Drama, Comedy",Prime Video ,,Movie,,,,
Jungle Virgin Force,1983-01-01,"Action & Adventure, Horror",Prime Video ,Indonesia,Movie,,4.4/10,,"Danu Umbara-director, Lydia Kandou-actor, Harry Capri-actor, Enny Beatrice-actor, Piet Burnama-actor, Nena Rosier-actor, Torro Margens-actor, Rita Zahara-actor, H.I.M. Damsyik-actor, Dhamoo Punjabi-actor, Arifin C. Noer-author, Gatot Sudarto-actor"
Hard Drive,1994-01-02,"Crime, Thriller",Free Services,America,Movie,18+ (R),5.5/10,,"James Merendino-director, Matt McCoy-actor, Christina Fulton-actor, Edward Albert-actor, Leo Damian-actor, Stella Stevens-actor, Irina Maleeva-actor, Belinda Waymouth-actor, Robin Joi Brown-actor, Melanie Moore-actor, De'Ann Power-actor, Jane Damian-actor, Jessica Hopper-actor, Alix Koromzay-actor, Michael Kastenbaum-actor, Spice Williams-Crosby-actor, Kane Picoy-actor, Leo Damian-actor, Michael Kastenbaum-actor, Gary Van Haas-author, James Merendino-author"
The Mating Game,1959-04-29,"Comedy, Romance",Prime Video ,America,Movie,,6.9/10,,"George Marshall-director, Debbie Reynolds-actor, Tony Randall-actor, Paul Douglas-actor, Fred Clark-actor, Una Merkel-actor, Philip Ober-actor, Philip Coolidge-actor, Charles Lane-actor, Trevor Bardette-actor, William Smith-actor, Addison Powell-actor, Rickey Murray-actor, Donald Losby-actor, Cheryl Bailey-actor, Caryl Bailey-actor, Robert Carson-actor, Gordon Carveth-actor, Gene Coogan-actor, Oliver Cross-actor, Franklyn Farnum-actor, Warren Frost-actor, Philip Barry Jr.-actor, H. E. Bates-author"
The Zen Diaries of Garry Shandling Part 2,2018-01-01,,"HBO, Prime Video",,Movie,,,,
Training Wheels,2018-08-11,"Drama, Comedy",Prime Video ,,Movie,,,,
Saltwater: The Battle for Ramree Island,2021-06-01,Action & Adventure,"Free Services, Prime Video",United Kingdom,Movie,,2.5/10,,"Steven Lawson-director, Glenn Salvage-actor, Jas Steven Singh-actor, Steven Dolton-actor, Ryan Harvey-actor, Charlie Bond-actor, David Hon Ma Chu-actor, Steven Lawson-author"
Phantom Signals,2020-10-08,Documentary,"Philo, Prime Video",,TV Show,,6/10,1,
Stella Maris,1918-01-21,"Romance, Drama","Prime Video, Prime Video",America,Movie,,6.9/10,,"Marshall Neilan-director, Mary Pickford-actor, Ida Waterman-actor, Herbert Standing-actor, Conway Tearle-actor, Josephine Crowell-actor, Marcia Manon-actor, Lou Conley-actor, Gustav von Seyffertitz-actor, Frances Marion-author, William J. Locke-author"
Golden Mind,2013-11-05,Drama,"Free Services, Prime Video",America,Movie,7+ (PG),6.6/10,,"Josiah David Warren-director, Josiah David Warren-actor, Elizabeth York-actor, Chloe Flores-actor"
The Fly Room,2014-01-01,"Drama, Biography","Free Services, Prime Video",America,Movie,,6.4/10,,"Alexis Gambis-director, Henry Hopper-actor, Griffin Newman-actor, Mikal Evans-actor, Zoe Brooks-actor, Ben Mehl-actor, Haskell King-actor, Stan Demidoff-actor, Lesley Shires-actor, Alexis Gambis-author"
Arnie the Doughnut,2005-10-09,"Animation, Family","Hoopla, Prime Video",America,Movie,,8.6/10,,"Daniel Ivanick-director, Laurie Keller-author"
8 Slices,2020-03-01,Drama,"Free Services, Prime Video",America,Movie,7+ (PG),5.8/10,,"Nick Westfall-director, Jesse C. Boyd-actor, Kathy Searle-actor, Tyra Colar-actor, Harrison Stone-actor, Swift Rice-actor, Erika Chase-actor, Ethan Alexander McGee-actor, Gavin Munn-actor, Fiona Domenica-actor, Irene Santiago-actor, Justin Matthew Smith-actor, John Abraham-actor, Sarah Jes Austell-actor, Ramfis Myrthil-actor, Amber Patee Adams-actor, Jake Camp-actor, Nick Westfall-actor, Tamara Mercer-actor, Nick Westfall-author, Rogerio Maudonnet-actor"
Gus,1976-07-07,"Family, Comedy","Disney+, Prime Video",America,Movie,All (G),5.7/10,,"Vincent McEveety-director, Edward Asner-actor, Don Knotts-actor, Gary Grimes-actor, Tim Conway-actor, Louise Williams-actor, Dick Van Patten-actor, Ronnie Schell-actor, Bob Crane-actor, Johnny Unitas-actor, Dick Butkus-actor, Harold Gould-actor, Tom Bosley-actor, Virginia O'Brien-actor, Kenneth Tobey-actor, Richard Kiel-actor, Dick Enberg-actor, Fred Dryer-actor, Liam Dunn-actor, Warde Donovan-actor, Larry Burrell-actor, Ron W. Miller-actor, Arthur Alsberg-author, Don Nelson-author"
The Wizard of Paws,2020-04-08,"Family, Reality",Disney+,,TV Show,,9.4/10,3,
Deals in the Desert,2018-05-21,,"Free Services, Prime Video",,TV Show,,,1,
Drachenjungfrau,2016-03-11,Crime,"Free Services, Prime Video",Austria,Movie,16+,6.4/10,,"Catalina Molina-director, Manuel Rubey-actor, Stefanie Reinsperger-actor, Verena Altenberger-actor, Patricia Aulitzky-actor, Harald Krassnitzer-actor, Christine Ostermayer-actor, Sabrina Reiter-actor, Nikolaus Leytner-author, Stefan Hafner-author, Thomas Weingartner-author"
"My Enemy, My Brother",2015-04-17,"Documentary, Animation",Prime Video ,Canada,Movie,13+ (PG-13),8.2/10,,Ann Shin-director
Same Sex America,2005-04-22,"Documentary, LGBTQ",fuboTV,America,Movie,16+,7.3/10,,"Henry Corra-director, Matthew Cummings-actor, Eliza M. Skinner-actor, Alex R. Johnson-actor, Henry Corra-actor, Jay Peterson-actor, Robert F. Katz-actor"
The Most Dangerous Animal of All,2020-03-06,Documentary,"Hulu, Prime Video",,TV Show,14+ (TV-14),6.3/10,1,
End of Sentence,2019-09-23,"Drama, Action & Adventure","Free Services, Prime Video",Iceland,Movie,13+ (PG-13),6.7/10,,"Elfar Adalsteins-director, John Hawkes-actor, Logan Lerman-actor, Sarah Bolger-actor, Andrea Irvine-actor, Ólafur Darri Ólafsson-actor, Denis Conway-actor, Lalor Roddy-actor, David Grant Wright-actor, Sean Mahon-actor, Mary McEvoy-actor, Aoibhin Murphy-actor, Marion O'Dwyer-actor, Joan Sheehy-actor, Des Keogh-actor, Aine Ni Mhuiri-actor, Steven Blount-actor, Daniel Mahoney-actor, Maire Hastings-actor, Claire Mullan-actor, SJ McArdle-actor, Noella Brennan-actor, David Collins-actor, Elfar Adalsteins-actor"
The Queen,2009-11-29,"Drama, Documentary",Prime Video ,United Kingdom,TV Show,,7.2/10,1,"Samantha Bond-actor, Emilia Fox-actor, Katherine Elizabeth McGrath-actor, Barbara Flynn-actor, Diana Quick-actor, Lesley Manville-actor, Susan Jameson-actor, Simon Williams-actor, Tristan Sturrock-actor, Philip Jackson-actor, Lloyd McGuire-actor, Robert Bathurst-actor, Abby Ford-actor, Craig Heaney-actor, Graham O'Mara-actor, Nicholas Le Prevost-actor, Ryan Quish-actor, Peter Davison-actor, Doreen Mantle-actor, Paul Clayton-actor, Michael Maloney-actor"
Vennila Kabaddi Kuzhu 2,2019-07-12,"Action & Adventure, Drama",Prime Video ,India,Movie,,5.1/10,,"Selvashekaran-director, Vikranth-actor, Arthana Binu-actor, Pasupathy Masilamani-actor, Kishore-actor, Anupama Kumar-actor, Ravi Mariya-actor, Soori-actor, Appukutty-actor, Kanja Karuppu-actor, Arul Dass-actor, Sonia Bose Venkat-actor, Ashwanth Ashokkumar-actor, Benjamin-actor, Maayi Sundar-actor, Nithish Veera-actor, Alexander-actor, Selvashekaran-author, V. Selvaganesh-actor"
Marked,,Drama,Netflix,,Movie,,6.7/10,,
Calls From the Inside,2021-12-29,"Documentary, Crime","Philo, Prime Video",,TV Show,,7/10,1,
Planeat,2010-04-06,"Biography, Documentary",Prime Video ,,Movie,,7.2/10,,"Or Shlomi-director, Shelley Lee Davies-director, Yvonne O'Grady-actor"
FRONTLINE: In the Age of AI,2019-11-05,Documentary,"Kanopy, Prime Video",,Movie,13+ (PG-13),8.2/10,,
Scooby-Doo Meets Batman,2002-08-20,"Animation, Family",Prime Video ,America,Movie,,6.9/10,,"Joseph Barbera-director, William Hanna-director, Nicole Jaffe-actor, Casey Kasem-actor, Don Messick-actor, Heather North-actor, Frank Welker-actor, Olan Soule-actor, Ted Knight-actor, Joseph Barbera-actor, William Hanna-actor"
Escape from Davao: 1943,2013-05-08,Documentary,Free Services,America,Movie,,,,"Tim Gray-director, Dale Dye-actor, John Lukacs-actor, John Lukacs-author"
"Real Fake: The Art, Life & Crimes of Elmyr De Hory",2017-10-01,Documentary,"Free Services, Prime Video",,Movie,,5.6/10,,Jeff Oppenheim-director
The Trouble with You,2018-10-06,"Comedy, Crime","Kanopy, Prime Video",France,Movie,,6.2/10,,"Pierre Salvadori-director, Adèle Haenel-actor, Pio Marmaï-actor, Audrey Tautou-actor, Damien Bonnard-actor, Vincent Elbaz-actor, Octave Bossuet-actor, Hocine Choutri-actor, Alexandre Marouani-actor, Jean-Louis Barcelona-actor, David Thion-actor, Philippe Martin-actor, Benjamin Charbit-author, Benoît Graffin-author, Pierre Salvadori-author"
Tirza,2010-09-30,Drama,"Free Services, Prime Video",Netherlands,Movie,,6.4/10,,"Rudolf van den Berg-director, Gijs Scholten van Aschat-actor, Sylvia Hoeks-actor, Johanna ter Steege-actor, Abbey Hoes-actor, Titia Hoogendoorn-actor, Jeroen Spitzenberger-actor, Nasrdin Dchar-actor, Naomi van Es-actor, Michael Dube-actor, Jeroen Koolbergen-actor, Pierre Spengler-actor, Arnon Grunberg-author, Rudolf van den Berg-author"
The Mating Habits of the Earthbound Human,1999-09-03,"Science-Fiction, Comedy",Prime Video ,America,Movie,18+ (R),6.3/10,,"Jeff Abugov-director, Carmen Electra-actor, Mackenzie Astin-actor, David Hyde Pierce-actor, Lucy Liu-actor, Markus Redmond-actor, Lisa Rotondi-actor, Marc Blucas-actor, Larry Estes-actor, Jeff Abugov-author"
Code of the Cactus,1939-02-25,Action & Adventure,Free Services,America,Movie,,6.3/10,,"Sam Newfield-director, Tim McCoy-actor, Ben Corbett-actor, Dorothy Short-actor, Slim Whitaker-actor, Ted Adams-actor, Stephen Chase-actor, Dave O'Brien-actor, Forrest Taylor-actor, Bob Terry-actor, Frank Wayne-actor, Jimmy Aubrey-actor, Lee Burns-actor, Bob Card-actor, Jim Corey-actor, Rube Dalroy-actor, Art Davis-actor, Jack King-actor, Jack 'Tiny' Lipson-actor, Carl Mathews-actor, Kermit Maynard-actor, Clyde McClary-actor, Edward Halperin-author"
Steve Rannazzisi: Breaking Dad,2015-09-19,"Stand-up & Talk, Comedy","Paramount+, Prime Video",America,Movie,,5.4/10,,"Jeff Tomsic-director, Stephen Rannazzisi-actor, Stephen Rannazzisi-author"
The Four Juanes,1966-07-07,Drama,Free Services,Mexico,Movie,,6.6/10,,"Miguel Zacarías-director, Luis Aguilar-actor, Antonio Aguilar-actor, Javier Solís-actor, Narciso Busquets-actor, Alma Delia Fuentes-actor, Ofelia Montesco-actor, Antonio Raxel-actor, Jorge Russek-actor, Mario García 'Harapos'-actor, Alfredo Zacarías-actor, Alfredo Zacarías-author"
District C-11,2017-03-21,"Drama, Thriller",Free Services,America,Movie,18+ (R),4/10,,"Wes Williams II-director, Corey Spencer-actor, Timo Jacobs-actor, Mark Resnik-actor, Brina-actor, Arthur Hiou-actor, Paula Lauzon-actor, J.P. Valenti-actor, Billy 'V' Vigeant-actor, Lin Hultgren-actor, Alex Cash-actor, Graham King-actor, Richard Chandler-actor, Jordan Lloyd-actor, Angel Connel-actor, Aliana Gianci-actor, Mickey Gilmore-actor, J. Jewels-actor, Ralph Celestin-author"
