name,released_at,genre,streaming_on,country,type,content_rating,imdb_rating,number_of_seasons,cast_and_crew
Lifeline,2018-05-29,Drama,Free Services,,Movie,,8.6/10,,
Meteor,1979-10-19,"Drama, Science-Fiction","Free Services, Prime Video",America,Movie,7+ (PG),5/10,,"Ronald Neame-director, Sean Connery-actor, Karl Malden-actor, Henry Fonda-actor, Brian Keith-actor, Natalie Wood-actor, Trevor Howard-actor, Martin Landau-actor, Richard Dysart-actor, Joseph Campanella-actor, Bo Brundin-actor, Katherine De Hetre-actor, James G. Richardson-actor, Roger Robinson-actor, Michael Zaslow-actor, John Findlater-actor, Paul Tulley-actor, Allen Williams-actor, Bibi Besch-actor, Gregory Gaye-actor, Clyde Kusatsu-actor, Burke Byrnes-actor, Arnold H. Orgolini-actor, Theodore R. Parvin-actor"
Operation Delta Force,1997-01-01,"Action & Adventure, Thriller","Free Services, Prime Video",Netherlands,Movie,18+ (R),3.7/10,,"Sam Firstenberg-director, Ernie Hudson-actor, Jeff Fahey-actor, Rob Stewart-actor, Frank Zagarino-actor, Hal Holbrook-actor, Joe Lara-actor, Natasha Sutherland-actor, Todd Jensen-actor, Gideon Emery-actor, Tshepo Nzimande-actor, Jacques Gombault-actor, Frantz Dobrowsky-actor, Chris Buchanan-actor, Hal Orlandini-actor, Paul Ditchfield-actor, Avi Shafria-actor, Dan Robbertse-actor, Adrian Waldron-actor, Michael Brunner-actor, Wilson Dunster-actor, Michael McGovern-actor, Danny Lerner-actor, Avi Lerner-actor"
The Curse of Hobbes House,2020-06-26,"Mystery, Thriller","Free Services, Prime Video",United Kingdom,Movie,18+ (R),3.7/10,,"Juliane Block-director, Mhairi Calvey-actor, Makenna Guyler-actor, وليد القاضي-actor, Kevin Leslie-actor, Jo Price-actor, Emma Spurgin Hussey-actor, Wolf-Peter Arand-author"
Red Eye,2005-02-18,Horror,Cinemax,South Korea,Movie,,4.7/10,,"Kim Dong-bin-director, Jang Shin-Young-actor, Kwak Ji-min-actor, Lee Dong-kyu-actor, Kim Hye-na-actor, Lee Eol-actor, Hyeon-suk Kim-actor, Lee Dae-yeon-actor, Park Won-sang-actor, Song Il-gook-actor, Park Hyo-joo-actor, Jang So-yeon-actor, Choe Yun-Seul-actor, Nam-hie Kim-actor, Yong-guk Kim-actor"
Adeus À Carne,2017-05-01,Drama,Prime Video ,,Movie,,8.3/10,,
Faults,2014-03-06,"Thriller, Drama","Free Services, Prime Video",America,Movie,,6.7/10,,"Riley Stearns-director, Leland Orser-actor, Mary Elizabeth Winstead-actor, Chris Ellis-actor, Jon Gries-actor, Lance Reddick-actor, Beth Grant-actor, Cruz Flores-actor, AJ Bowen-actor, Nicholas Tucci-actor, Suzan Averitt-actor, Leonard Earl Howze-actor, Davey Johnson-actor, Kellie Matteson-actor, Amanda Saunders-actor, Shira Weitz-actor, David Zellner-actor, Keith Calder-actor, Mary Elizabeth Winstead-actor, Brian Joe-actor, Riley Stearns-author, Heather McIntosh-actor"
Edna,2020-11-04,"Comedy, Thriller",Prime Video ,Mexico,Movie,,7/10,,"Sergio Sierra-director, Sebastián Aguirre-actor, Andrés Blanco De Durán-actor, Louis David Horné-actor, Yareli Andrade-actor, Lili Moreira-actor, Hugo Romero-actor, Andrés Borja-actor"
The Legend of Bloody Jack,2007-02-27,"Drama, Horror",Free Services,America,Movie,,2.7/10,,"Todd Portugal-director, Craig Bonacorsi-actor, Erica Curtis-actor, Jonathan Kowalsky-actor, Jessica Szabo-actor, Josh Evans-actor, Alicia Klein-actor, Travis Quentin Young-actor, Garrett Brawith-actor"
Rabbids Invasion - Mission To Mars,2021-09-29,"Animation, Comedy",Netflix,France,Movie,,5.6/10,,"Franz Kirchner-director, Howard Read-author"
Desecration,2018-01-01,"Drama, Thriller",Free Services,,Movie,,6.9/10,,
Hippos: Africa's River Giants,2019-07-26,Documentary,Kanopy,,Movie,7+ (PG),7.9/10,,
The Last Samurai,2003-12-01,"Action & Adventure, Drama","Paramount+, Prime Video",Japan,Movie,All (G),7.8/10,,"Edward Zwick-director, Tom Cruise-actor, Ken Watanabe-actor, Timothy Spall-actor, Tony Goldwyn-actor, Hiroyuki Sanada-actor, Koyuki-actor, Shin Koyamada-actor, Billy Connolly-actor, Togo Igawa-actor, Shichinosuke Nakamura-actor, Masato Harada-actor, William Atherton-actor, Chad Lindberg-actor, Scott Wilson-actor, Ray Godshall Sr.-actor, Masashi Odate-actor, John Koyama-actor, Satoshi Nikaido-actor, Shintaro Wada-actor, Shun Sugata-actor, Sosuke Ikematsu-actor, Edward Zwick-actor, Marshall Herskovitz-actor"
Sesame Street: Zoe's Dance Moves,2003-01-01,Family,Prime Video ,,Movie,,7.1/10,,"Paula Abdul-actor, Fran Brill-actor, Kevin Clash-actor"
Bob Dylan Revealed,2011-05-01,Documentary,Prime Video ,America,Movie,,4.6/10,,"Joel Gilbert-director, Bob Dylan-actor"
Code of the Freaks,2020-04-01,Documentary,"Kanopy, Prime Video",,Movie,,7.1/10,,"Salome Chasnoff-director, Alyson Patsavas-actor, Carrie Sandahl-actor, Salome Chasnoff-actor, Susan Nussbaum-actor"
GTV Comedy,2019-01-06,Comedy,Prime Video ,,TV Show,,8.2/10,1,
Superman: Red Son,2020-02-24,"Animation, Action & Adventure","HBO MAX, Prime Video",America,Movie,13+ (PG-13),6.4/10,,"Sam Liu-director, Jason Isaacs-actor, Amy Acker-actor, Diedrich Bader-actor, Vanessa Marshall-actor, Phil Morris-actor, Paul Williams-actor, Greg Chun-actor, Roger Craig Smith-actor, William Salyers-actor, Jim Meskimen-actor, Sasha Roiz-actor, Phil LaMarr-actor, Travis Willingham-actor, Winter Ave Zoli-actor, Jim Ward-actor, Jason Spisak-actor, Tara Strong-actor, Anna Vocino-actor, Amy McKenna-actor, Sam Liu-actor, Bruce Timm-actor, Sam Register-actor, J. M. DeMatteis-author"
Battle Dome,1999-09-18,"Game Show, Sport",Prime Video ,America,TV Show,,7.1/10,2,"Terry Crews-actor, Chad Bannon-actor, Brien Blakely-actor, Ed Lover-actor, Christian Boeving-actor, Gary Kasper-actor, Erica Dahm-actor, Jaclyn Dahm-actor, Mike O'Hearn-actor, Nicole Dahm-actor, Bobbie Brown-actor, Christian Boeving-actor"
Secrets in the Fall,2015-09-22,"Drama, Family","Free Services, Prime Video",,Movie,,6.2/10,,"Brittany Goodwin-director, Kyle Kupecky-actor, Vincent Seidle-actor, Hollie Shay-actor, Audrey Easton-actor, Aaron Michael Johnson-actor, Katie McCaffrey-actor, Brittany Goodwin-author"
The Gary I Knew,2020-02-08,Documentary,Free Services,,Movie,,7.5/10,,
The Salted Egg 3,2019-10-15,Animation,"Free Services, Prime Video",,Movie,,,,
"Captain Carey, U.S.A.",1950-02-21,Drama,Prime Video ,America,Movie,,6.1/10,,"Mitchell Leisen-director, Alan Ladd-actor, Wanda Hendrix-actor, Francis Lederer-actor, Joseph Calleia-actor, Celia Lovsky-actor, Richard Avonde-actor, Frank Puglia-actor, Luis Alberni-actor, Angela Clarke-actor, Roland Winters-actor, Paul Lees-actor, Jane Nigh-actor, Russ Tamblyn-actor, Virginia Farmer-actor, Richard Maibaum-actor, Martha Albrand-author, Robert Thoeren-author"
How to Die in Oregon,2011-01-23,"Drama, Documentary","Free Services, Prime Video",America,Movie,,8.2/10,,"Peter Richardson-director, Harry Bruton-actor, Ray Carnay-actor, Cody Curtis-actor, Paul Darley-actor"
King's Game,2004-08-10,"Drama, Thriller",Prime Video ,Denmark,Movie,,7.3/10,,"Nikolaj Arcel-director, Anders W. Berthelsen-actor, Søren Pilmark-actor, Nicolas Bro-actor, Lars Mikkelsen-actor, Ulf Pilgaard-actor, Helle Fagralid-actor, Jesper Langberg-actor, Kurt Ravn-actor, Anders Nyborg-actor, Charlotte Munck-actor, Clara Maria Bahamondes-actor, Jens Jørn Spottag-actor, Nicolaj Kopernikus-actor, Marianne Høgsbro-actor, Nastja Arcel-actor, Lars Brygmann-actor, Bjarne Henriksen-actor, Robert Hansen-actor, Laura Christensen-actor, Hans Henrik Voetmann-actor, Anders Peter Bro-actor, Niels Krause-Kjær-author, Nikolaj Arcel-author"
The Alamo,2004-04-07,Drama,"Free Services, Prime Video",America,Movie,13+ (PG-13),6/10,,"John Lee Hancock-director, Dennis Quaid-actor, Billy Bob Thornton-actor, Jason Patric-actor, Patrick Wilson-actor, Emilio Echevarría-actor, Edwin Hodge-actor, Emily Deschanel-actor, Jordi Mollà-actor, Leon Rippy-actor, Tommy Davidson-actor, Marc Blucas-actor, Robert Prentiss-actor, Kevin Page-actor, Joe Stevens-actor, Stephen Bruton-actor, Laura Clifton-actor, Ricardo Chavira-actor, Steven Chester Prince-actor, Estephania LeBaron-actor, Brandon Smith-actor, Elena Hurst-actor, Mark Johnson-actor, Ron Howard-actor"
